timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1428847200,Apr 12 2015 - 2:00pm,complete,2120,Lahti,KTP,N/A,1,0.00,0.00,1.59,0.71,1,1,2,0,0,0,"74","58",6,3,0,0,2,0,0,0,0,2,18,13,8,6,10,7,10,14,47,53,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.64,3.93,5.98,0.00,0.00,0.00,0.00,0.00,0.00,Kisapuisto
1428847200,Apr 12 2015 - 2:00pm,complete,3892,Inter Turku,SJK,N/A,1,0.00,0.00,1.94,1.25,1,1,2,2,1,1,"15","30",2,6,3,1,5,0,2,2,4,1,4,17,2,8,2,9,13,11,45,55,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.84,3.33,2.13,0.00,0.00,0.00,0.00,0.00,0.00,Veritas Stadion
1428847200,Apr 12 2015 - 2:00pm,complete,1281,RoPS,HJK,N/A,1,0.00,0.00,1.94,1.31,1,3,4,2,0,2,"58","19,45'2,71",-1,-1,3,0,4,0,2,1,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.81,3.95,1.65,0.00,0.00,0.00,0.00,0.00,0.00,Rovaniemen Keskuskenttä
1428847200,Apr 12 2015 - 2:00pm,complete,992,Jaro,Mariehamn,N/A,1,0.00,0.00,1.18,1.25,1,1,2,1,1,0,"25","87",5,8,3,0,1,0,1,2,1,0,7,7,4,5,3,2,15,22,48,52,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.86,3.46,2.56,0.00,0.00,0.00,0.00,0.00,0.00,Jakobstads Centralplan (Pietarsaaren Keskuskenttä) (Pietarsaari (Jacobstad))
1429448400,Apr 19 2015 - 1:00pm,complete,1355,Mariehamn,HIFK,N/A,2,0.00,0.00,1.47,1.12,1,1,2,1,1,0,"24","47",8,3,1,0,1,0,0,1,0,1,8,4,4,2,4,2,16,9,57,43,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.99,3.57,4.03,0.00,0.00,0.00,0.00,0.00,0.00,Wiklöf Holding Arena (Maarianhamina (Mariehamn)- Ahvenanmaa (Åland))
1429448400,Apr 19 2015 - 1:00pm,complete,5502,HJK,Lahti,N/A,2,0.00,0.00,2.18,1.31,1,1,2,2,1,1,"42","20",6,4,1,0,2,0,1,0,0,2,9,9,2,4,7,5,11,16,55,45,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.34,5.13,9.99,0.00,0.00,0.00,0.00,0.00,0.00,Telia 5G -areena
1429448400,Apr 19 2015 - 1:00pm,complete,2048,SJK,RoPS,N/A,2,0.00,0.00,2.35,1.65,1,0,1,0,0,0,"79","",7,10,1,0,1,0,1,0,0,1,9,10,5,4,4,6,21,15,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.54,3.98,7.77,0.00,0.00,0.00,0.00,0.00,0.00,Seinäjoen keskuskenttä (Seinäjoki)
1429448400,Apr 19 2015 - 1:00pm,complete,1610,KTP,KuPS,N/A,2,0.00,0.00,1.25,0.82,0,1,1,0,0,0,"","58",3,8,3,0,1,0,1,2,0,1,13,8,6,4,7,4,20,14,54,46,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.07,3.25,2.52,0.00,0.00,0.00,0.00,0.00,0.00,Arto Tolsa Areena
1429448400,Apr 19 2015 - 1:00pm,complete,2029,Inter Turku,Ilves,N/A,2,1.00,0.00,1.94,0.88,3,1,4,2,2,0,"28,40,60","80",5,6,2,0,1,0,0,2,1,0,8,7,4,4,4,3,18,8,47,53,0.00,0.00,0.00,0.00,1.00,50,50,0,0,0,50,50,0,0,2.00,4.00,1.76,3.66,5.25,0.00,0.00,0.00,0.00,0.00,0.00,Veritas Stadion
1429803000,Apr 23 2015 - 3:30pm,complete,912,RoPS,Inter Turku,N/A,2,0.00,0.00,1.94,1.06,0,4,4,3,0,3,"","7,16,35,90'4",-1,-1,1,0,2,0,0,1,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,2.00,50,50,50,50,0,50,50,50,50,0.00,3.00,2.50,3.35,3.02,0.00,0.00,0.00,0.00,0.00,0.00,Rovaniemen Keskuskenttä
