timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1743256800,Mar 29 2025 - 2:00pm,complete,N/A,Djurgården,Malmö FF,Glenn Nyberg,1,0.00,0.00,1.25,1.25,0,1,1,1,0,1,"","45'8",7,3,2,0,6,0,2,0,4,2,16,10,2,3,14,7,11,18,55,45,0.00,0.00,1.70,1.09,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.06,3.32,2.26,1.30,1.91,3.35,6.50,1.75,2.00,3Arena (Stockholm)
1743265800,Mar 29 2025 - 4:30pm,complete,N/A,Häcken,Brommapojkarna,Victor Wolf,1,0.00,0.00,1.14,1.63,2,0,2,0,0,0,"73,90'4","",7,5,3,0,1,0,2,1,1,0,15,12,7,3,8,9,13,12,67,33,0.00,0.00,2.05,1.16,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.62,4.40,4.40,1.14,1.42,2.10,3.63,1.57,2.25,Bravida Arena (Göteborg)
1743336000,Mar 30 2025 - 12:00pm,complete,N/A,Hammarby,IFK Göteborg,Oscar Johnson,1,0.00,0.00,2.44,1.71,4,0,4,2,2,0,"21,42,73,85","",8,3,1,0,3,0,0,1,2,1,19,5,9,0,10,5,11,15,56,44,0.00,0.00,2.25,0.57,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.83,3.74,3.89,1.28,1.80,3.10,6.00,1.75,2.00,3Arena (Stockholm)
1743336000,Mar 30 2025 - 12:00pm,complete,N/A,Elfsborg,Mjällby,Kristoffer Karlsson,1,0.00,0.00,2.00,2.13,2,2,4,2,0,2,"60,78","20,29",7,5,2,0,0,0,0,2,0,0,19,11,6,6,13,5,12,9,46,54,0.00,0.00,2.16,1.43,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.82,3.74,3.96,1.30,1.87,3.30,6.50,1.80,1.95,Borås Arena (Borås)
1743345000,Mar 30 2025 - 2:30pm,complete,N/A,Norrköping,Öster,Joakim Östling,1,0.00,0.00,0.88,0.71,4,3,7,3,2,1,"17,19,50,65","31,78,90",8,10,3,1,2,0,1,3,1,1,12,8,8,5,4,3,15,16,52,48,0.00,0.00,1.64,1.17,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.01,3.73,3.28,1.25,1.65,2.80,5.25,1.62,2.20,PlatinumCars Arena (Norrköping)
1743345000,Mar 30 2025 - 2:30pm,complete,N/A,Halmstad,Degerfors,Adam Ladebäck,1,0.00,0.00,1.50,1.29,0,5,5,1,0,1,"","45'1,55,74,83,90'3",5,5,2,0,4,0,0,2,2,2,6,18,4,11,2,7,13,13,62,38,0.00,0.00,0.88,2.15,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.18,3.21,3.34,1.33,2.00,3.30,7.00,1.80,1.95,Örjans Vall (Halmstad)
1743440400,Mar 31 2025 - 5:00pm,complete,2524,Värnamo,Sirius,Fredrik Klitte,1,0.00,0.00,0.43,0.75,1,2,3,0,0,0,"50","61,85",4,3,3,0,0,0,0,3,0,0,14,7,6,4,8,3,20,11,50,50,0.00,0.00,1.59,1.03,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.55,3.28,2.68,1.30,1.92,3.45,6.50,1.75,2.00,Finnvedsvallen (Värnamo)
1743441000,Mar 31 2025 - 5:10pm,complete,N/A,GAIS,AIK,Mohammed Al Hakim,1,0.00,0.00,1.50,1.67,0,1,1,0,0,0,"","90'2",4,8,3,0,3,0,1,2,0,3,13,8,3,2,10,6,16,12,52,48,0.00,0.00,1.54,0.85,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.62,3.14,2.71,1.40,1.91,4.00,8.50,1.91,1.91,Gamla Ullevi (Göteborg)
1743858000,Apr 05 2025 - 1:00pm,complete,N/A,IFK Göteborg,Halmstad,Fredrik Klitte,2,0.00,0.00,1.43,0.67,1,0,1,0,0,0,"54","",4,2,0,0,2,0,0,0,0,2,12,3,4,2,8,1,13,24,67,33,0.00,0.00,1.43,0.54,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.52,4.20,5.70,1.30,1.73,3.38,6.75,1.95,1.80,Gamla Ullevi (Göteborg)
1743858000,Apr 05 2025 - 1:00pm,complete,9639,Sirius,Djurgården,Mohammed Al Hakim,2,0.00,0.00,1.17,1.50,0,1,1,0,0,0,"","51",3,4,1,0,1,0,1,0,0,1,11,18,3,8,8,10,14,17,52,48,0.00,0.00,1.22,2.13,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.04,3.45,2.22,1.25,1.80,3.30,6.75,1.70,2.05,Studenternas IP (Uppsala)
