timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1618059600,Apr 10 2021 - 1:00pm,complete,N/A,Falkenberg,GAIS,Joakim Östling,1,0.00,0.00,1.00,1.13,0,1,1,0,0,0,"","50",7,4,4,0,2,0,1,3,1,1,8,8,3,4,5,4,24,15,52,48,0.00,0.00,1.27,1.11,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.84,3.50,4.00,1.32,1.82,3.20,6.25,1.80,1.83,Falcon Alkoholfri Arena (Falkenberg)
1618059600,Apr 10 2021 - 1:00pm,complete,N/A,Landskrona,Värnamo,Magnus Lindgren,1,0.00,0.00,2.33,1.60,2,0,2,1,1,0,"24,57","",2,7,1,0,2,0,0,1,1,1,9,8,4,4,5,4,19,11,46,54,0.00,0.00,1.16,1.23,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.41,3.35,2.75,1.33,1.97,3.25,6.50,1.74,1.87,Landskrona Idrottsplats (Landskrona)
1618138800,Apr 11 2021 - 11:00am,complete,N/A,Akropolis,Brage,Tess Olofsson,1,0.00,0.00,1.47,1.13,1,1,2,1,1,0,"34","56",4,9,5,0,2,0,4,1,1,1,10,13,7,9,3,4,14,5,44,56,0.00,0.00,1.34,1.70,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.50,3.00,2.50,1.28,1.73,2.80,5.25,1.67,2.15,Grimsta IP (Stockholm)
1618138800,Apr 11 2021 - 11:00am,complete,N/A,Örgryte,Öster,Richard Sundell,1,0.00,0.00,1.40,1.13,0,1,1,0,0,0,"","59",2,7,4,0,2,0,1,3,0,2,6,9,3,5,3,4,18,19,54,46,0.00,0.00,1.04,1.45,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.30,3.15,2.65,1.32,1.85,3.40,6.00,1.77,2.00,Bravida Arena (Göteborg)
1618146000,Apr 11 2021 - 1:00pm,complete,N/A,Jönköpings Södra,Vasalund,Martin Strömbergsson,1,0.00,0.00,1.53,0.73,5,1,6,1,0,1,"52,60,68,71,85","14",7,3,1,0,5,1,0,1,3,3,16,7,12,2,4,5,11,16,65,35,0.00,0.00,2.65,1.04,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.95,3.50,3.75,1.24,1.69,2.70,4.85,1.61,2.25,Vapenvallen (Huskvarna)
1618146000,Apr 11 2021 - 1:00pm,complete,N/A,Trelleborg,Norrby,Fredrik Hansson,1,0.00,0.00,1.80,1.67,2,1,3,1,0,1,"82,88","43",6,5,2,0,1,0,2,0,1,0,10,11,5,5,5,6,14,19,62,38,0.00,0.00,1.45,1.41,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.83,3.65,4.05,1.34,2.00,3.40,6.75,1.95,1.80,Vångavallen (Trelleborg)
1618246800,Apr 12 2021 - 5:00pm,complete,N/A,Västerås SK,AFC Eskilstuna,Andreas Johansson,1,0.00,0.00,1.27,0.80,0,0,0,0,0,0,"","",9,1,1,0,2,0,0,1,0,2,18,7,7,0,11,7,16,10,62,38,0.00,0.00,2.40,0.72,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.04,3.50,3.65,1.25,1.67,2.80,4.90,1.61,2.20,Iver Arena (Västerås)
1618333200,Apr 13 2021 - 5:00pm,complete,N/A,GIF Sundsvall,Helsingborg,Farouk Ben Ahmed Nehdi,1,0.00,0.00,2.07,1.60,2,2,4,2,1,1,"23,90'2","18,61",15,2,0,0,1,0,0,0,1,0,10,5,5,4,5,1,10,15,59,41,0.00,0.00,1.56,0.92,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.35,3.30,2.65,1.26,1.75,2.65,5.00,1.62,2.15,Studenternas IP (Uppsala)
1618657200,Apr 17 2021 - 11:00am,complete,N/A,AFC Eskilstuna,Akropolis,Adi Aganovic,2,0.00,0.00,1.87,0.87,3,0,3,1,1,0,"44,80,85","",6,2,2,0,3,0,0,2,1,2,12,4,6,2,6,2,16,12,37,63,0.00,0.00,1.46,0.70,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.35,3.20,2.62,1.28,1.73,2.90,5.00,1.61,2.20,Tunavallen (Eskilstuna)
1618664400,Apr 17 2021 - 1:00pm,complete,N/A,GAIS,Västerås SK,Robert Daradic,2,0.00,0.00,1.13,1.13,1,0,1,0,0,0,"58","",4,1,1,0,1,1,0,1,1,1,15,9,7,3,8,6,14,18,55,45,0.00,0.00,1.91,1.22,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.80,3.10,2.30,1.33,1.91,3.30,6.00,1.71,2.05,Nya Ullevi (Göteborg)
1618664400,Apr 17 2021 - 1:00pm,complete,N/A,Brage,Falkenberg,Farouk Ben Ahmed Nehdi,2,0.00,0.00,1.47,0.67,0,1,1,1,0,1,"","41",4,4,1,0,4,0,0,1,1,3,12,11,3,3,9,8,13,17,56,44,0.00,0.00,1.48,1.31,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.20,3.10,3.00,1.30,1.91,3.50,6.50,1.75,2.00,Borlänge Energi Arena Domnarvsvallen (Borlänge)
1618671600,Apr 17 2021 - 3:00pm,complete,N/A,Vasalund,Trelleborg,Richard Sundell,2,0.00,0.00,1.00,1.07,2,2,4,0,0,0,"55,73","62,70",5,8,2,0,1,0,0,2,0,1,9,10,4,3,5,7,17,14,45,55,0.00,0.00,1.20,1.38,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.75,3.25,2.25,1.26,1.67,3.00,5.00,1.61,2.20,Skytteholms IP (Solna)
1618743600,Apr 18 2021 - 11:00am,complete,N/A,Öster,Landskrona,Joakim Östling,2,0.00,0.00,1.93,0.60,1,1,2,0,0,0,"46","90'3",3,6,4,0,1,0,1,3,0,1,6,3,2,3,4,0,16,16,50,50,0.00,0.00,0.76,0.65,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.74,3.30,5.50,1.35,2.05,3.45,7.00,1.95,1.83,Visma Arena (Växjö)
1618750800,Apr 18 2021 - 1:00pm,complete,N/A,Värnamo,GIF Sundsvall,Fredrick Oppong,2,0.00,0.00,2.33,1.47,2,1,3,1,1,0,"23,90'1","70",10,1,3,0,1,0,1,2,0,1,12,7,8,3,4,4,11,18,54,46,0.00,0.00,1.96,1.30,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.55,3.35,2.05,1.35,2.00,3.25,6.25,1.83,1.91,Finnvedsvallen (Värnamo)
1618851600,Apr 19 2021 - 5:00pm,complete,N/A,Norrby,Jönköpings Södra,Enzo Vesprini,2,0.00,0.00,1.53,1.00,2,0,2,1,1,0,"7,53","",10,2,1,0,1,0,0,1,0,1,15,11,6,4,9,7,19,5,40,60,0.00,0.00,1.89,1.49,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.40,3.65,2.00,1.25,1.74,2.70,5.00,1.67,2.15,Borås Arena (Borås)
1618938000,Apr 20 2021 - 5:00pm,complete,N/A,Helsingborg,Örgryte,Granit Maqedonci,2,0.00,0.00,1.60,1.33,4,1,5,1,1,0,"6,63,76,88","70",4,3,4,0,1,1,0,4,1,1,13,7,8,3,5,4,14,13,42,58,0.00,0.00,1.85,1.18,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.62,4.00,4.95,1.31,1.91,3.25,6.25,1.95,1.80,Olympia (Helsingborg)
